Language,Domain,Source,Meaning,Syntax,Form,Comments,Flag for review
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,they,3Person neuter - Personal Subjective,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,them,3Person Personal Objective,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,our,"1Person inclusive - Possessive, Dependent",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,ours,1Person Possessive Independent,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,us,1Person Personal Objective,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,herself,3Person - Reflexive,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,myself,1Person - Reflexive,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,ourselves,1Person - Reflexive,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,yourself,2Person - Reflexive,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,yourselves,2Person - Reflexive,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,itself,3Person - Reflexive,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,themselves,3Person - Reflexive,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,thou,1Person Personal Subjective,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,thee,2Person Personal Objective,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,thy,3Person Possessive Dependent,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,thyself,3Person Possessive Dependent,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,thine,3Person Possessive Independent,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,ye,2Person Personal Subjective,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,yours,2Person Possessive Independent,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,this,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,that,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,them,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,these,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,those,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,their,"Personal, Objective - Possessive Dependent",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,theirs,Possessive Independent,--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",SG,Pronoun,s,1Person Possessive Pronoun,--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,s,Regular plural,--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,es,"if singular noun ends in s, ss, sh, ch, x, z, add es to the end to make plural",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,es,"when singular noun ends in -o, add -es to pluralise",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,es,"when singular noun ends in -is, add -es to pluralise",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,es,add after changing the 'y' to 'i',--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,ves,"e.g., from half-->halves when noun ends with -f or -fe (few exceptions; e.g., roof, belief)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,i,when singular nouns end in -us,--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,ae,"e.g., applied to alumna-->alumnae",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,ies,"when singular nouns end in y, use ies to pluralise noun (e.g., puppy-->puppies)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,a ,"when singular noun ends in -on (e.g., phenomenon-->phenomena)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,ren,"occurs in 3 irregular nouns - p. 307 from the Quirk source states that the -en plural occurs only in 3 nouns (brethren, children, oxen) ",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,eese,"e.g., goose-->geese -- not sure if we want to count these 4 examples of irregular nouns that follow no specific rules",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,en,"e.g., man-->men",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,ne,--,--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,ee ,"e.g., tooth-->teeth; foot-->feet",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,ice,"e.g., mouse-->mice",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,-s-,"in compound words, change may be in the first part of the word, or in the last. (e,g,m son-in-law --> sons-in-law)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",SG,Subject Verb Agreement,s,"3Person (e.g., he run-S)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Subject Verb Agreement,--,"3Person (e.g., they run)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",SG,Subject Verb Agreement,--,"1-, 2Person (e.g., I run, you run)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Subject Verb Agreement,--,"1-, 2Person (e.g., we run, ya'll run)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Subject Verb Agreement,--,"1Person, 1Person (e.g., my husband and I)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Subject Verb Agreement,--,"2Person, 2Person (e.g., you and your husband)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Subject Verb Agreement,--,"2Person, 3Person, 1Person (e.g., you, Mary, and me)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Subject Verb Agreement,--,"2Person, 1Person (e.g., you and me)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,--,"""unmarked plural nouns like policemen"" or nationality nouns (e.g., Chinese)",--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Determiner,a,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Determiner,an,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Determiner,my,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Determiner,your,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Determiner,his,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Determiner,her,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Determiner,its,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Determiner,each,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Determiner,all,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Determiner,both,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Determiner,our ,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Determiner,your ,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Determiner,their,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Demonstrative,this,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Demonstrative,that,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Demonstrative,these,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Demonstrative,those,--,--
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,some,Assertive,Note: You may want to double check whether we are after these word forms
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,someone,Assertive,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,somebody,Assertive,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,something,Assertive,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Determiner,some,Assertive,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,any,Non-assertive,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,anyone,Non-assertive,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,anybody,Non-assertive,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun,anything,Non-assertive,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun,either,Non-assertive,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Determiner,any,Non-assertive,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Determiner,either,Non-assertive,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun ,none,Negative,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun ,no one,Negative,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun ,nobody,Negative,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun ,nothing,Negative,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun ,neither,Negative,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun ,all ,Universal,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun ,everyone,Universal,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun ,everybody,Universal,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun ,everything,Universal,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Pronoun ,both,Universal,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Pronoun ,each,Universal,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Determiner,all,Universal,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",PL,Determiner,both,Universal,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Determiner,each,Universal,as above
English,Number,"Greenbaum, S. (1996). The Oxford English grammar. Oxford University Press.",SG,Determiner,every,Universal,as above
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,-i,"For nouns from Latin ending in -us (e.g., stimulus-> stimuli)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,-uses,"For nouns from lating ending in -us (only a few, e.g., apparatus, bonus)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,-ae,"e.g., alumna > alumnae",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,-as,"e.g., antena > antenas",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,-a,"For nouns  latin ending in -am (e.g., curriciulum > curricula)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,-ices,"For nouns from latin ending in -ex, ix (e.g., index > indices)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,-es,"For nouns from Greek ending in -is (e.g., basis > bases)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,-a,"For nouns from Greek ending in -on (e.g., criterion --> criteria)",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,--,"Nouns from French - bureau, corps, etc",--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,-i,Nouns from Italian ending in -o (tempo > tempi),--
English,Number,"Quirk, R., Greenbaum, S., Leech, G., & Svartvik, J. (1985). A comprehensive English grammar. London and New York: Longman.",PL,Noun,-im,"Nouns from Hebrew (e.g., kibbutz > kibbutzim)",--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,--,Nominative First Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,a,Nominative Second Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,--,Nominative Third Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,o,Nominative Fourth Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,y,Nominative First Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,y,"Nominative Second Class ""The inflection is a 'y' but to apply it, the last 'a' from komnata is removed (i.e., komnaty)--most forms in the Second Class are similar to this (e.g., komnata -> komnatu, komnaty, komnate)""",--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,i,Nominative Third Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,a,Nominative Fourth Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,--,Accusative First Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,u,Accusative Second Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,--,Accusative Third Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,o,Accusative Fourth Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,y,Accusative First Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,y,Accusative Second Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,i,Accusative Third Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,a,Accusative Fourth Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,a,Genitive First Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,y,Genitive Second Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,i,Genitive Third Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,a,Genitive Fourth Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,ov,Genitive First Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,--,Genitive Second Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,ej,Genitive Third Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,--,Genitive Fourth Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,u,Dative First Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,ej,Dative Second Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,i,Dative Third Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,u,Dative Fourth Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,am,Dative First Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,m,Dative Second Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,jam,Dative Third Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,ami,Dative Fourth Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,om,Instrumental First Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,oj,Instrumental Second Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,ju,Instrumental Third Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,m,Instrumental Fourth Claass,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,ami,Instrumental First Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,ami,Instrumental Second Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,jami,Instrumental Third Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",PL,Noun,ami,Instrumental Fourth Claass,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,ej,Locative First Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,ej,Locative Second Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,i,Locative Third Class,--
Russian,Number,"Corbett, G. G. (2000). Number. Cambridge University Press.",SG,Noun,ej,Locative Fourth Class,--
Russian,Number,"Wade, T. (2020). A comprehensive Russian grammar. John Wiley & Sons.",PL,Noun,ax,Locative First Class,--
Russian,Number,"Wade, T. (2020). A comprehensive Russian grammar. John Wiley & Sons.",PL,Noun,x,Locative Second Class,--
Russian,Number,"Wade, T. (2020). A comprehensive Russian grammar. John Wiley & Sons.",PL,Noun,jax,Locative Third Class,--
Russian,Number,"Wade, T. (2020). A comprehensive Russian grammar. John Wiley & Sons.",PL,Noun,ax,Locative Fourth Class,--
Russian,Number,"Wade, T. (2020). A comprehensive Russian grammar. John Wiley & Sons.",SG,Noun,a,Nominative Feminine - First declension,--
Russian,Number,"Wade, T. (2020). A comprehensive Russian grammar. John Wiley & Sons.",SG,Noun,u,Accusative - First declension,--
Russian,Number,"Wade, T. (2020). A comprehensive Russian grammar. John Wiley & Sons.",SG,Noun,y,Genitive - First declension,--
Russian,Number,"Wade, T. (2020). A comprehensive Russian grammar. John Wiley & Sons.",SG,Noun,e,Dative - First declension,--
Russian,Number,"Wade, T. (2020). A comprehensive Russian grammar. John Wiley & Sons.",SG,Noun,ii,Dative - First declension,--
Russian,Number,"Wade, T. (2020). A comprehensive Russian grammar. John Wiley & Sons.",SG,Noun,oj,Instrumental - First declension,--
