"Language_ID","Name","Family","Source","Page"
"daw1","Daw","Naduhup","Aikhenvald2004","32"
"des1","Desano","Tucanoan","Aikhenvald2004","60"
"ari1","Diyari","Pama-Nyungan","Aikhenvald2004","34"
"saw1","Donno Saw","Dogon","Aikhenvald2004","133"
"ong1","Dulong","Sino-Tibetan","Aikhenvald2004","47"
"tch1","Dutch","Indo-European","Aikhenvald2004","17"
"bal1","Dyirbal","Pama-Nyungan","Aikhenvald2004","132"
"omo2","Eastern Pomo","Pomoan","Aikhenvald2004","52"
"ets1","Enets","Uralic","Aikhenvald2004","47"
"nga1","Enga","Nuclear Trans New Guinea","Aikhenvald2004","32"
"eng1","English","Indo-European","Aikhenvald2004","10"
"est1","Estonian","Uralic","Aikhenvald2004","33"
"asu1","Fasu","Fasu","Aikhenvald2004","62-63"
"nch1","French","Indo-European","Aikhenvald2004","17"
"iao1","Gaviao","Tuplan","Aikhenvald2004","32"
"geo1","Georgian","Kartvelian","Aikhenvald2004","38"
"man1","German","Indo-European","Aikhenvald2004",""
"eri1","Godoberi","Nakh-Daghestanian","Aikhenvald2004","28"
"eek1","Greek","Indo-European","Aikhenvald2004","150"
"yan2","Guarani, Paraguayan","Tuplan","Aikhenvald2004","32"
"are1","Hare","Athabaskan-Eyak-Tlingit","Aikhenvald2004","31"
"rew1","Hebrew","Afro-Asiatic","Aikhenvald2004","10"
"opi1","Hopi","Uto-Aztecan","Aikhenvald2004","45"
"zib1","Hunzib","Nakh-Daghestanian","Aikhenvald2004","29"
"upa1","Hupa","Athabaskan-Eyak-Tlingit","Aikhenvald2004","31"
"pda1","Hupda","Naduhup","Aikhenvald2004","60"
"ign1","Ignaciano","Arawakan","Aikhenvald2004","32"
"txe1","Irantxe","Irantxe","Aikhenvald2004","75"
"him1","Ishkashim","Indo-European","Aikhenvald2004","38"
"zmo1","Istanbul Judezmo","Indo-European","Aikhenvald2004","114"
"ese1","Japanese","Japonic","Aikhenvald2004","81"
"jar1","Jarawara","Arawan","Aikhenvald2004","23-24;26"
"sha1","Kalasha","Indo-European","Aikhenvald2004","28"
"era1","Kambera","Austronesian","Aikhenvald2004","140-141"
"ana1","Karitiana","Tuplan","Aikhenvald2004","32"
"aya1","Kashaya","Pomoan","Aikhenvald2004","60"
"ato1","Kato","Athabaskan-Eyak-Tlingit","Aikhenvald2004","31"
"akh1","Kazakh","Turkic","Aikhenvald2004","40"
"ket1","Ket","Yeniseian","Aikhenvald2004","290"
"ham1","Kham","Sino-Tibetan","Aikhenvald2004","32"
"war1","Khowar","Indo-European","Aikhenvald2004","24"
"bai1","Kombai","Nuclear Trans New Guinea","Aikhenvald2004","137"
"omi1","Komi","Uralic","Aikhenvald2004","28"
"ean1","Korean","Koreanic","Aikhenvald2004",""
"aje1","Koreguaje","Tucanoan","Aikhenvald2004","44"
"kur1","Kurdish","Indo-European","Aikhenvald2004","289"
"utl1","Kwakiutl","Wakashan","Aikhenvald2004","59"
"khi1","Ladakhi","Sino-Tibetan","Aikhenvald2004","53"
"lat1","Latvian","Indo-European","Aikhenvald2004","33"
"lez1","Lezgian","Nakh-Daghestanian","Aikhenvald2004","31"
"oet1","Lillooet","Salishan","Aikhenvald2004","59"
"liv1","Livonian","Uralic","Aikhenvald2004","33"
"mac1","Macedonian","Indo-European","Aikhenvald2004","40"
"una2","Macuna","Tucanoan","Aikhenvald2004","52"
"idu1","Maidu","Maiduan","Aikhenvald2004","46"
"kah1","Makah","Wakashan","Aikhenvald2004",""
"nde1","Mamainde","Nambiquaran","Aikhenvald2004","56"
"ula1","Mangap-Mbula","Austronesian","Aikhenvald2004","28"
"nsi1","Mansi","Uralic","Aikhenvald2004","31"
"ari2","Mari","Uralic","Aikhenvald2004","28"
"opa1","Maricopa","Cochimi-Yuman","Aikhenvald2004","47"
"meg1","Megleno-Romanian","Indo-European","Aikhenvald2004","288"
"meg2","Megrelian","Kartvelian","Aikhenvald2004","31"
"hei1","Meithei","Sino-Tibetan","Aikhenvald2004","31"
"ini1","Menomini","Algic","Aikhenvald2004","33"
"ten1","Moseten","Moseten","Aikhenvald2004","44"
"ets2","Nenets","Uralic","Aikhenvald2004","31"
"ali1","Nepali","Indo-European","Aikhenvald2004","291"
"san1","Nganasan","Uralic","Aikhenvald2004","47"
"baa1","Ngiyambaa","Pama-Nyungan","Aikhenvald2004","34"
"vkh1","Nivkh","Nivkh","Aikhenvald2004","290"
"era2","Northern Embera","Chocoan","Aikhenvald2004","58"
"nty1","Northern Khanty","Uralic","Aikhenvald2004","155-156"
"min1","Oksapmin","Nuclear Trans New Guinea","Aikhenvald2004","46"
"aha1","Omaha","Siouan","Aikhenvald2004","33"
"are2","Panare","Cariban","Aikhenvald2004","253"
"eci1","Pareci","Arawakan","Aikhenvald2004","32"
"ari3","Paumari","Arawan","Aikhenvald2004","284"
"nee1","Pawnee","Caddoan","Aikhenvald2004","56"
"per1","Persian","Indo-European","Aikhenvald2004","38"
"oco1","Piapoco","Arawakan","Aikhenvald2004","32"
"iro1","Piro","Kiowa-Tanoan","Aikhenvald2004","32"
"nca1","Ponca","Siouan","Aikhenvald2004","33-34"
"ese2","Portuguese","Indo-European","Aikhenvald2004","37"
"omi2","Potawatomi","Algic","Aikhenvald2004","32"
"ang1","Qiang","Sino-Tibetan","Aikhenvald2004","44-45"
"hua1","Quechua","Quechuan","Aikhenvald2004","43"
"aro1","Resigaro","Arawakan","Aikhenvald2004","32"
"ret1","Retuara","Tucanoan","Aikhenvald2004","49"
"rus1","Russian","Indo-European","Aikhenvald2004",""
"ali2","Santali","Austroasiatic","Aikhenvald2004","131"
"uma1","Sanuma","Yanomamic","Aikhenvald2004","18;46"
"oya1","Secoya","Tucanoan","Aikhenvald2004","28"
"ser1","Serbian","Indo-European","Aikhenvald2004","288"
"sta1","Shasta","Shastan","Aikhenvald2004","43"
"isu1","Shibacha Lisu","Sino-Tibetan","Aikhenvald2004","54"
"luk1","Shilluk","Nilotic","Aikhenvald2004","43"
"ibo2","Shipibo-Konibo","Pano-Tacanan","Aikhenvald2004","55"
"one1","Shoshone","Uto-Aztecan","Aikhenvald2004","33-34"
"ona1","Siona","Tucanoan","Aikhenvald2004","46"
"sir1","Siriano","Tucanoan","Aikhenvald2004","51-52"
"ala1","Sissala","Atlantic-Congo","Aikhenvald2004","32"
"ida1","Skidegate Haida","Haida","Aikhenvald2004","46"
"uan1","Southeastern Tepehuan","Uto-Aztecan","Aikhenvald2004","58"
"era3","Southern Nambiquera","Nambiquaran","Aikhenvald2004","61"
"spa1","Spanish","Indo-European","Aikhenvald2004",""
"rui1","Surui","Tuplan","Aikhenvald2004","32"
"van1","Svan","Kartvelian","Aikhenvald2004","76"
"jik1","Tajik","Indo-European","Aikhenvald2004","289"
"lma1","Takelma","Takelma","Aikhenvald2004","41"
"can1","Tarascan","Tarascan","Aikhenvald2004","41-42"
"ana2","Tariana","Arawakan","Aikhenvald2004","1-3;52"
"uyo1","Tatuyo","Tucanoan","Aikhenvald2004","51"
"uya1","Tauya","Nuclear Trans New Guinea","Aikhenvald2004","32"
"ena1","Terena","Arawakan","Aikhenvald2004","32"
"son1","Thompson","Salishan","Aikhenvald2004","59"
"tan2","Tibetan","Sino-Tibetan","Aikhenvald2004","28"
"awa2","Tonkawa","Tonkawa","Aikhenvald2004","51"
"iki1","Tsafiki","Barbacoan","Aikhenvald2004","54"
"sez1","Tsez","Nakh-Daghestanian","Aikhenvald2004","28"
"tuc1","Tucano","Tucanoan","Aikhenvald2004","51-53"
"tur1","Turkish","Turkic","Aikhenvald2004","155"
"men1","Turkmen","Turkic","Aikhenvald2004","40"
"uan2","Tuvaluan","Austronesian","Aikhenvald2004","359"
"uca1","Tuyuca","Tucanoan","Aikhenvald2004","60"
"ykh1","Ubykh","Abkhaz-Adyge","Aikhenvald2004","293"
"urt1","Udmurt","Uralic","Aikhenvald2004","28"
"hur1","Uyghur","Turkic","Aikhenvald2004","40"
"bek1","Uzbek","Turkic","Aikhenvald2004","40"
"ani2","Vlach Romani","Indo-European","Aikhenvald2004","38"
"iri1","Warlpiri","Pama-Nyungan","Aikhenvald2004","62"
"ram1","Wasco-Wishram","Chinookan","Aikhenvald2004","39"
"sho1","Washo","Washo","Aikhenvald2004","46"
"ura1","Waura","Arawakan","Aikhenvald2004","32"
"ewa2","Weyewa","Austronesian","Aikhenvald2004","359"
"ita1","Wichita","Caddoan","Aikhenvald2004","59-60"
"ntu1","Wintu","Wintuan","Aikhenvald2004","60"
"kas1","Xakas","Turkic","Aikhenvald2004","30"
"eri2","Xamatauteri","Yanomamic","Aikhenvald2004","18;56"
"nam1","Yanam","Yanomamic","Aikhenvald2004","18"
"yan3","Yankunytjatjara","Pama-Nyungan","Aikhenvald2004","33"
"hup1","Yuhup","Naduhup","Aikhenvald2004","292"
"hir1","Yukaghir","Yukaghir","Aikhenvald2004","24;27"
"aki1","Zazaki","Indo-European","Aikhenvald2004","38-39"
